annual_points,nickname,place,final_bets_count,orig_bets_count,won,lost,units,roi,id,user_id,contest_id,active_days
12,Ajax,1,100,100,130.4,,30.4,30.4,,11b6372c-c909-11e8-8022-74852a015562,56173925-519e-11f1-a6f3-000017024a87,
10,Stan87,2,100,100,114.7,,14.7,14.7,,0f9994d6-c909-11e8-8022-74852a015562,56173925-519e-11f1-a6f3-000017024a87,
8,zuzik,3,100,100,104.8,,4.8,4.8,,10912e61-e385-11e8-a9e2-74852a015562,56173925-519e-11f1-a6f3-000017024a87,
6,Ka1man,4,100,100,103.0,,3.0,3.0,,10cdadf5-c909-11e8-8022-74852a015562,56173925-519e-11f1-a6f3-000017024a87,
5,Cap4ik88,5,100,102,102.7,48.0,2.7,2.7,,09d7d5d1-c909-11e8-8022-74852a015562,56173925-519e-11f1-a6f3-000017024a87,
4,Deagle,6,100,100,97.9,,-2.1,-2.1,,0e2ae8fd-c909-11e8-8022-74852a015562,56173925-519e-11f1-a6f3-000017024a87,
3,BeTeLGeuSe1366,7,100,100,97.6,45.0,-2.40,-2.4,,0ca7046d-c909-11e8-8022-74852a015562,56173925-519e-11f1-a6f3-000017024a87,
2,DNIPRO,8,100,99,54.5,72.0,-45.5,-45.5,,1647bf56-c909-11e8-8022-74852a015562,56173925-519e-11f1-a6f3-000017024a87,
1,arabijoni,9,100,40,48.82,25.0,-51.18,-51.18,,548e3175-5199-11f1-a6f3-000017024a87,56173925-519e-11f1-a6f3-000017024a87,
