annual_points,nickname,place,final_bets_count,orig_bets_count,won,lost,units,roi,id,user_id,contest_id,active_days
12,Dnepr,1,100,100,125.7,58.0,25.7,25.7,,1647bf56-c909-11e8-8022-74852a015562,56173d9f-519e-11f1-a6f3-000017024a87,
10,Arsii,2,100,100,115.3,50.0,15.3,15.3,,10912e61-e385-11e8-a9e2-74852a015562,56173d9f-519e-11f1-a6f3-000017024a87,
8,BeTeL,3,100,100,111.6,48.0,11.6,11.6,,0ca7046d-c909-11e8-8022-74852a015562,56173d9f-519e-11f1-a6f3-000017024a87,
6,Gorg,4,100,100,111.4,41.0,11.4,11.4,,12b31bfb-c909-11e8-8022-74852a015562,56173d9f-519e-11f1-a6f3-000017024a87,
5,Deagle,5,100,100,108.4,47.0,8.4,8.4,,0e2ae8fd-c909-11e8-8022-74852a015562,56173d9f-519e-11f1-a6f3-000017024a87,
4,stan507,6,100,100,105.7,44.0,5.7,5.7,,0f9994d6-c909-11e8-8022-74852a015562,56173d9f-519e-11f1-a6f3-000017024a87,
3,Ajax,7,100,100,104.3,68.0,4.3,4.3,,11b6372c-c909-11e8-8022-74852a015562,56173d9f-519e-11f1-a6f3-000017024a87,
2,ka1manua,8,100,100,95.6,52.0,-4.4,-4.4,,10cdadf5-c909-11e8-8022-74852a015562,56173d9f-519e-11f1-a6f3-000017024a87,
1,NewHorizons,9,100,100,71.4,80.0,-28.6,-28.6,,09d7d5d1-c909-11e8-8022-74852a015562,56173d9f-519e-11f1-a6f3-000017024a87,
