annual_points,nickname,place,final_bets_count,orig_bets_count,won,lost,units,roi
,Arsii,1,37,37,52.31,17.0,15.31,41.4
,BeTeL,2,36,36,49.65,14.0,13.65,37.9
,stan507,3,30,30,37.70,11.0,7.70,25.7
,Gorg,4,35,35,39.06,15.0,4.06,11.6
,Deagle,5,56,56,66.28,28.0,4.28,7.6
,Ajax,6,46,46,39.63,31.0,-6.37,-13.8
,NewHorizons,7,46,46,39.09,37.0,-6.91,-15.0
