annual_points,nickname,place,final_bets_count,orig_bets_count,won,lost,units,roi,id,user_id,contest_id,active_days
10,Ajax,1,100,100,129.8,,29.8,29.8,,11b6372c-c909-11e8-8022-74852a015562,561739d4-519e-11f1-a6f3-000017024a87,
8,Gunners_Fan,2,100,100,129.2,,29.2,29.2,,10912e61-e385-11e8-a9e2-74852a015562,561739d4-519e-11f1-a6f3-000017024a87,
6,AlegriA,3,100,100,106.6,,6.6,6.6,,09d7d5d1-c909-11e8-8022-74852a015562,561739d4-519e-11f1-a6f3-000017024a87,
4,BeTeLGeuSeWinner,4,100,100,99.4,,-0.6,-0.6,,0ca7046d-c909-11e8-8022-74852a015562,561739d4-519e-11f1-a6f3-000017024a87,
3,Deagle,5,100,100,97.9,,-2.1,-2.1,,0e2ae8fd-c909-11e8-8022-74852a015562,561739d4-519e-11f1-a6f3-000017024a87,
2,stan507,6,100,100,88.12,,-11.88,-11.88,,0f9994d6-c909-11e8-8022-74852a015562,561739d4-519e-11f1-a6f3-000017024a87,
1,Gorg,7,100,100,88.07,,-11.93,-11.93,,12b31bfb-c909-11e8-8022-74852a015562,561739d4-519e-11f1-a6f3-000017024a87,
