annual_points,nickname,place,final_bets_count,orig_bets_count,won,lost,units,roi,id,user_id,contest_id,active_days
10,BeTeL,1,100,100,100.15,53.0,0.15,0.15,,0ca7046d-c909-11e8-8022-74852a015562,56173be7-519e-11f1-a6f3-000017024a87,
8,stan507,2,100,100,99.96,48.0,-0.04,-0.04,,0f9994d6-c909-11e8-8022-74852a015562,56173be7-519e-11f1-a6f3-000017024a87,
6,AjaxSpring,3,100,100,97.1,75.0,-2.9,-2.9,,11b6372c-c909-11e8-8022-74852a015562,56173be7-519e-11f1-a6f3-000017024a87,
4,ka1manua,4,100,100,95.4,60.0,-4.6,-4.6,,10cdadf5-c909-11e8-8022-74852a015562,56173be7-519e-11f1-a6f3-000017024a87,
3,CaPoNe,5,100,100,94.9,64.0,-5.1,-5.1,,09d7d5d1-c909-11e8-8022-74852a015562,56173be7-519e-11f1-a6f3-000017024a87,
2,BasDost,6,100,100,93.8,71.0,-6.2,-6.2,,10912e61-e385-11e8-a9e2-74852a015562,56173be7-519e-11f1-a6f3-000017024a87,
1,Deagle,7,100,100,89.6,75.0,-10.4,-10.4,,0e2ae8fd-c909-11e8-8022-74852a015562,56173be7-519e-11f1-a6f3-000017024a87,
