annual_points,nickname,place,final_bets_count,orig_bets_count,won,lost,units,roi,id,user_id,contest_id,active_days
,Dnepr,1,33,33,43.42,26.0,10.42,31.6,,1647bf56-c909-11e8-8022-74852a015562,5617e87c-519e-11f1-a6f3-000017024a87,
,stan507,2,31,31,37.03,18.0,6.03,19.5,,0f9994d6-c909-11e8-8022-74852a015562,5617e87c-519e-11f1-a6f3-000017024a87,
,Deagle,3,50,50,58.95,18.0,6.95,13.9,,0e2ae8fd-c909-11e8-8022-74852a015562,5617e87c-519e-11f1-a6f3-000017024a87,
,Ajax,4,50,50,54.82,27.0,4.82,9.6,,11b6372c-c909-11e8-8022-74852a015562,5617e87c-519e-11f1-a6f3-000017024a87,
,BeTeL,5,39,39,40.64,27.0,1.64,4.2,,0ca7046d-c909-11e8-8022-74852a015562,5617e87c-519e-11f1-a6f3-000017024a87,
,Ars,6,40,40,37.67,24.0,-2.33,-5.8,,15053f93-c909-11e8-8022-74852a015562,5617e87c-519e-11f1-a6f3-000017024a87,
,Arsii,7,49,49,43.27,34.0,-5.73,-11.7,,10912e61-e385-11e8-a9e2-74852a015562,5617e87c-519e-11f1-a6f3-000017024a87,
,Cap4ik,8,45,45,30.26,35.0,-14.74,-32.8,,09d7d5d1-c909-11e8-8022-74852a015562,5617e87c-519e-11f1-a6f3-000017024a87,
