annual_points,nickname,place,final_bets_count,orig_bets_count,won,lost,units,roi,id,user_id,contest_id,active_days
,Dnepr,1,42,42,54.34,33.0,12.34,29.4,,1647bf56-c909-11e8-8022-74852a015562,56173d77-519e-11f1-a6f3-000017024a87,
,NewHorizons,2,34,34,43.53,23.5,9.53,28.0,,09d7d5d1-c909-11e8-8022-74852a015562,56173d77-519e-11f1-a6f3-000017024a87,
,Ars,3,30,30,36.15,19.0,6.15,20.5,,15053f93-c909-11e8-8022-74852a015562,56173d77-519e-11f1-a6f3-000017024a87,
,Deagle,4,33,33,37.81,12.0,4.81,14.6,,0e2ae8fd-c909-11e8-8022-74852a015562,56173d77-519e-11f1-a6f3-000017024a87,
,BeTeL,5,38,38,42.58,16.0,4.58,12.1,,0ca7046d-c909-11e8-8022-74852a015562,56173d77-519e-11f1-a6f3-000017024a87,
,ka1manua,6,32,32,33.82,15.0,1.82,5.7,,10cdadf5-c909-11e8-8022-74852a015562,56173d77-519e-11f1-a6f3-000017024a87,
,Gorg,7,38,38,39.26,17.0,-0.54,-1.4,,12b31bfb-c909-11e8-8022-74852a015562,56173d77-519e-11f1-a6f3-000017024a87,
,Arsii,8,49,49,46.54,33.0,-2.46,-5.0,,10912e61-e385-11e8-a9e2-74852a015562,56173d77-519e-11f1-a6f3-000017024a87,
,Ajax,9,32,32,29.17,19.0,-2.83,-8.8,,11b6372c-c909-11e8-8022-74852a015562,56173d77-519e-11f1-a6f3-000017024a87,
