annual_points,nickname,place,final_bets_count,orig_bets_count,won,lost,units,roi,id,user_id,contest_id,active_days
11,Gorg,1,100,100,122.28,54,22.28,22.3,,12b31bfb-c909-11e8-8022-74852a015562,5617eb85-519e-11f1-a6f3-000017024a87,
9,Ajax,2,100,100,119.28,67,19.28,19.3,,11b6372c-c909-11e8-8022-74852a015562,5617eb85-519e-11f1-a6f3-000017024a87,
7,Dnepr,3,100,100,114.28,56,14.28,14.3,,1647bf56-c909-11e8-8022-74852a015562,5617eb85-519e-11f1-a6f3-000017024a87,
6,BeTeL,4,100,100,113.55,52,13.55,13.6,,0ca7046d-c909-11e8-8022-74852a015562,5617eb85-519e-11f1-a6f3-000017024a87,
5,Zaur,5,100,100,112.09,67,12.09,12.1,,10912e61-e385-11e8-a9e2-74852a015562,5617eb85-519e-11f1-a6f3-000017024a87,
4,Ka1man,6,100,100,108.10,47,8.10,8.1,,10cdadf5-c909-11e8-8022-74852a015562,5617eb85-519e-11f1-a6f3-000017024a87,
3,Deagle,7,100,100,103.01,45,3.01,3.0,,0e2ae8fd-c909-11e8-8022-74852a015562,5617eb85-519e-11f1-a6f3-000017024a87,
2,Ars,8,100,100,87.81,73,-12.19,-12.2,,15053f93-c909-11e8-8022-74852a015562,5617eb85-519e-11f1-a6f3-000017024a87,
1,Stan,9,100,100,73.93,62,-26.07,-26.1,,0f9994d6-c909-11e8-8022-74852a015562,5617eb85-519e-11f1-a6f3-000017024a87,
