annual_points,nickname,place,final_bets_count,orig_bets_count,won,lost,units,roi,id,user_id,contest_id,active_days
,Arsii,1,30,30,49.67,14.0,16.79,56.0,,10912e61-e385-11e8-a9e2-74852a015562,5617ea58-519e-11f1-a6f3-000017024a87,
,Ajax,2,42,42,53.99,24.0,11.99,28.5,,11b6372c-c909-11e8-8022-74852a015562,5617ea58-519e-11f1-a6f3-000017024a87,
,Ars,3,58,58,70.85,31.0,12.85,22.2,,15053f93-c909-11e8-8022-74852a015562,5617ea58-519e-11f1-a6f3-000017024a87,
,Cap4ik,4,44,44,55.00,22.0,8.00,18.2,,09d7d5d1-c909-11e8-8022-74852a015562,5617ea58-519e-11f1-a6f3-000017024a87,
,Dnepr,5,35,35,36.34,17.0,1.34,3.8,,1647bf56-c909-11e8-8022-74852a015562,5617ea58-519e-11f1-a6f3-000017024a87,
,BeTeL,6,30,30,30.91,15.0,0.91,3.0,,0ca7046d-c909-11e8-8022-74852a015562,5617ea58-519e-11f1-a6f3-000017024a87,
,Gorg,7,69,69,70.19,35.0,1.19,1.7,,12b31bfb-c909-11e8-8022-74852a015562,5617ea58-519e-11f1-a6f3-000017024a87,
,stan507,8,33,33,23.31,20.0,-9.69,-29.4,,0f9994d6-c909-11e8-8022-74852a015562,5617ea58-519e-11f1-a6f3-000017024a87,
