annual_points,nickname,place,final_bets_count,orig_bets_count,won,lost,units,roi,id,user_id,contest_id,active_days
13,Arsii,1,100,100,130.3,46.0,30.3,30.3,,10912e61-e385-11e8-a9e2-74852a015562,5617ea23-519e-11f1-a6f3-000017024a87,
11,Cap4ik,2,100,100,117.3,53.0,17.3,17.3,,09d7d5d1-c909-11e8-8022-74852a015562,5617ea23-519e-11f1-a6f3-000017024a87,
9,Ars,3,100,100,111.6,53.0,11.6,11.6,,15053f93-c909-11e8-8022-74852a015562,5617ea23-519e-11f1-a6f3-000017024a87,
7,stan507,4,100,100,109.4,50.0,9.4,9.4,,0f9994d6-c909-11e8-8022-74852a015562,5617ea23-519e-11f1-a6f3-000017024a87,
6,BeTeL,5,100,100,103.0,56.0,3.0,3.0,,0ca7046d-c909-11e8-8022-74852a015562,5617ea23-519e-11f1-a6f3-000017024a87,
5,Ajax,6,100,100,100.4,67.0,0.4,0.4,,11b6372c-c909-11e8-8022-74852a015562,5617ea23-519e-11f1-a6f3-000017024a87,
4,Dnepr,7,100,100,97.7,68.0,-2.3,-2.3,,1647bf56-c909-11e8-8022-74852a015562,5617ea23-519e-11f1-a6f3-000017024a87,
3,Gorg,8,100,100,86.5,59.0,-13.5,-13.5,,12b31bfb-c909-11e8-8022-74852a015562,5617ea23-519e-11f1-a6f3-000017024a87,
2,Deagle,9,100,100,83.3,66.0,-16.7,-16.7,,0e2ae8fd-c909-11e8-8022-74852a015562,5617ea23-519e-11f1-a6f3-000017024a87,
1,ka1manua,10,100,72,64.4,39.0,-35.6,-35.6,,10cdadf5-c909-11e8-8022-74852a015562,5617ea23-519e-11f1-a6f3-000017024a87,
