annual_points,nickname,place,final_bets_count,orig_bets_count,won,lost,units,roi,id,user_id,contest_id,active_days
,stan507,1,32,32,53.28,13.0,21.28,66.5,,0f9994d6-c909-11e8-8022-74852a015562,5617ea81-519e-11f1-a6f3-000017024a87,
,Cap4ik,2,43,43,57.03,22.0,14.03,32.6,,09d7d5d1-c909-11e8-8022-74852a015562,5617ea81-519e-11f1-a6f3-000017024a87,
,Arsii,3,44,44,56.79,19.0,12.79,29.1,,10912e61-e385-11e8-a9e2-74852a015562,5617ea81-519e-11f1-a6f3-000017024a87,
,BeTeL,4,31,31,37.64,16.0,6.64,21.4,,0ca7046d-c909-11e8-8022-74852a015562,5617ea81-519e-11f1-a6f3-000017024a87,
,Dnepr,5,45,45,50.08,33.0,5.08,11.3,,1647bf56-c909-11e8-8022-74852a015562,5617ea81-519e-11f1-a6f3-000017024a87,
,Ars,6,41,41,41.73,22.0,-0.27,-0.7,,15053f93-c909-11e8-8022-74852a015562,5617ea81-519e-11f1-a6f3-000017024a87,
,ka1manua,7,32,32,30.44,16.0,-1.56,-4.9,,10cdadf5-c909-11e8-8022-74852a015562,5617ea81-519e-11f1-a6f3-000017024a87,
,Ajax,8,46,46,37.79,34.0,-8.21,-17.8,,11b6372c-c909-11e8-8022-74852a015562,5617ea81-519e-11f1-a6f3-000017024a87,
