annual_points,nickname,place,final_bets_count,orig_bets_count,won,lost,units,roi
7,Stan,1,150,150,157.58,59,7.58,5.1
5,BeTeLGeuSe,2,1660,1660,1710.81,725,50.81,3.1
3,Deagle,3,936,936,938.55,412,2.55,0.3
1,Mavri_Petalouda,4,771,771,771.71,341,0.71,0.1
