annual_points,nickname,place,final_bets_count,orig_bets_count,won,lost,units,roi,id,user_id,contest_id,active_days
11,Ka1man,1,100,100,111.3,,11.3,11.3,,10cdadf5-c909-11e8-8022-74852a015562,5617396c-519e-11f1-a6f3-000017024a87,
9,BeTeLGeuSe,2,100,100,108.2,,8.2,8.2,,0ca7046d-c909-11e8-8022-74852a015562,5617396c-519e-11f1-a6f3-000017024a87,
7,Stan507,3,100,100,101.2,,1.2,1.2,,0f9994d6-c909-11e8-8022-74852a015562,5617396c-519e-11f1-a6f3-000017024a87,
5,Cap4ik,4,100,100,101.0,,1.0,1.0,,09d7d5d1-c909-11e8-8022-74852a015562,5617396c-519e-11f1-a6f3-000017024a87,
4,Deagle,5,100,100,88.4,,-11.6,-11.6,,0e2ae8fd-c909-11e8-8022-74852a015562,5617396c-519e-11f1-a6f3-000017024a87,
3,Arsenal4ik,6,100,100,86.4,,-13.6,-13.6,,10912e61-e385-11e8-a9e2-74852a015562,5617396c-519e-11f1-a6f3-000017024a87,
2,Ajax,7,100,100,51.0,,-49.0,-49.0,,11b6372c-c909-11e8-8022-74852a015562,5617396c-519e-11f1-a6f3-000017024a87,
1,Dnepr,8,100,80,87.28,,-12.72,-12.72,,1647bf56-c909-11e8-8022-74852a015562,5617396c-519e-11f1-a6f3-000017024a87,
