annual_points,nickname,place,final_bets_count,orig_bets_count,won,lost,units,roi
11,Deagle,1,100,107,118.0,33.0,18.0,18.0
9,Ajax,2,100,99,115.9,65.0,15.9,15.9
7,stan507,3,100,100,106.3,51.0,6.3,6.3
5,NewHorizons,4,100,100,102.9,61.0,2.9,2.9
4,BeTeL,5,100,100,98.3,63.0,-1.7,-1.7
3,Arsii,6,100,100,98.1,66.0,-1.9,-1.9
2,Gorg,7,100,99,87.7,51.0,-12.3,-12.3
1,ka1manua,8,100,100,79.3,,-20.7,-20.7
