annual_points,nickname,place,final_bets_count,orig_bets_count,won,lost,units,roi,id,user_id,contest_id,active_days
,Ajax,1,30,30,41.88,18.0,11.88,39.6,,11b6372c-c909-11e8-8022-74852a015562,56173d02-519e-11f1-a6f3-000017024a87,
,NewHorizons,2,31,31,39.76,15.0,8.76,28.3,,09d7d5d1-c909-11e8-8022-74852a015562,56173d02-519e-11f1-a6f3-000017024a87,
,Deagle,3,45,45,55.66,14.0,6.66,14.8,,0e2ae8fd-c909-11e8-8022-74852a015562,56173d02-519e-11f1-a6f3-000017024a87,
,Arsii,4,41,41,44.34,27.0,3.34,8.1,,10912e61-e385-11e8-a9e2-74852a015562,56173d02-519e-11f1-a6f3-000017024a87,
,BeTeL,5,47,47,46.35,27.0,-0.65,-1.4,,0ca7046d-c909-11e8-8022-74852a015562,56173d02-519e-11f1-a6f3-000017024a87,
,ka1manua,6,49,49,,,-3.02,-6.2,,10cdadf5-c909-11e8-8022-74852a015562,56173d02-519e-11f1-a6f3-000017024a87,
