annual_points,nickname,place,final_bets_count,orig_bets_count,won,lost,units,roi,id,user_id,contest_id,active_days
,NewHorizons,1,51,51,49.10,31.0,5.60,11.0,,09d7d5d1-c909-11e8-8022-74852a015562,56173cd6-519e-11f1-a6f3-000017024a87,
,BeTeL,2,38,38,37.41,23.0,-0.59,-1.6,,0ca7046d-c909-11e8-8022-74852a015562,56173cd6-519e-11f1-a6f3-000017024a87,
,stan507,3,44,44,42.83,22.0,-1.17,-2.7,,0f9994d6-c909-11e8-8022-74852a015562,56173cd6-519e-11f1-a6f3-000017024a87,
,Arsii,4,48,48,46.42,31.0,-1.58,-3.3,,10912e61-e385-11e8-a9e2-74852a015562,56173cd6-519e-11f1-a6f3-000017024a87,
,Gorg,5,67,67,61.69,33.0,-5.31,-7.9,,12b31bfb-c909-11e8-8022-74852a015562,56173cd6-519e-11f1-a6f3-000017024a87,
,Ajax,6,40,40,19.89,33.0,-20.11,-50.3,,11b6372c-c909-11e8-8022-74852a015562,56173cd6-519e-11f1-a6f3-000017024a87,
